Current (A),Voltage_B1(V),Voltage_B2(V),Voltage_B3(V)
1.665525,4.032588,4.080234,4.113855
1.665525,4.033412,4.080234,4.113855
1.664703,4.035885,4.082719,4.117179
1.665525,4.035061,4.080234,4.114686
1.666347,4.033412,4.079406,4.114686
1.664703,4.033412,4.079406,4.113855
1.664703,4.035885,4.081891,4.117179
1.664703,4.035061,4.081062,4.115517
1.665525,4.033412,4.079406,4.113855
1.664703,4.033412,4.079406,4.113855
1.665525,4.035061,4.081891,4.115517
1.664703,4.035885,4.081891,4.116348
1.665525,4.033412,4.078578,4.113024
1.665525,4.033412,4.078578,4.113024
1.664703,4.035061,4.081062,4.115517
1.664703,4.035061,4.081062,4.115517
1.665525,4.033412,4.078578,4.113024
1.665525,4.033412,4.078578,4.113024
1.665525,4.035061,4.081062,4.115517
1.664703,4.035885,4.081062,4.115517
1.665525,4.032588,4.078578,4.113024
1.666347,4.033412,4.078578,4.113024
1.664703,4.035061,4.080234,4.114686
1.664703,4.035061,4.080234,4.115517
1.665525,4.033412,4.078578,4.113024
1.666347,4.033412,4.078578,4.113855
1.664703,4.035885,4.081062,4.115517
1.665525,4.034237,4.079406,4.114686
1.665525,4.033412,4.078578,4.113024
1.666347,4.032588,4.078578,4.113855
1.664703,4.035885,4.081891,4.116348
1.666347,4.033412,4.079406,4.113024
1.665525,4.032588,4.078578,4.113024
1.665525,4.033412,4.078578,4.113024
1.664703,4.035885,4.081062,4.115517
1.665525,4.032588,4.078578,4.113024
1.666347,4.033412,4.077750,4.113024
1.664703,4.035885,4.080234,4.115517
1.666347,4.033412,4.078578,4.113855
1.665525,4.032588,4.078578,4.113024
1.664703,4.034237,4.080234,4.114686
1.665525,4.033412,4.078578,4.113855
1.666347,4.032588,4.078578,4.113024
1.666347,4.033412,4.078578,4.113024
1.665525,4.034237,4.080234,4.114686
1.666347,4.032588,4.078578,4.112193
1.667169,4.031764,4.078578,4.112193
1.665525,4.035061,4.081062,4.114686
1.667169,4.031764,4.077750,4.112193
1.666347,4.032588,4.077750,4.111362
1.665525,4.034237,4.080234,4.113855
1.667169,4.032588,4.077750,4.111362
1.666347,4.032588,4.077750,4.111362
1.666347,4.035061,4.081062,4.113855
1.667169,4.031764,4.077750,4.110531
1.666347,4.031764,4.077750,4.110531
1.665525,4.035061,4.081062,4.114686
1.666347,4.032588,4.077750,4.112193
1.667169,4.031764,4.077750,4.111362
1.665525,4.034237,4.080234,4.113855
1.666347,4.032588,4.078578,4.112193
1.666347,4.030940,4.077750,4.111362
1.665525,4.034237,4.080234,4.113855
1.667169,4.032588,4.077750,4.111362
1.666347,4.032588,4.077750,4.112193
1.665525,4.035061,4.079406,4.113855
